Reference;Value;Footprint;Qty;DNP;Opis
C1,C5;10u;Capacitor_SMD:C_0805_2012Metric;2;;
C2,C8,C11,C12,C13,C14,C15,C16,C17,C18;100n;Capacitor_SMD:C_0402_1005Metric;10;;
C3,C4;15p;Capacitor_SMD:C_0402_1005Metric;2;;
C6,C7,C9,C10;4.7u;-- różne wartości --;4;;
H1,H2,H3,H4;MountingHole;MountingHole:MountingHole_2.7mm_M2.5;4;;
J1;USB_B_Micro;Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal;1;;
J4;SM03B-SRSS-TB;Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal;1;;
L1;3.3u;RP2350_60QFN_minimal:L_pol_2016;1;;
R1,R9;DNF;Resistor_SMD:R_0402_1005Metric;2;DNP;
R2,R4,R6;1k;Resistor_SMD:R_0402_1005Metric;3;;
R5;33;Resistor_SMD:R_0402_1005Metric;1;;
R7,R8;27;Resistor_SMD:R_0402_1005Metric;2;;
R10;0;Resistor_SMD:R_0402_1005Metric;1;;
SW1,SW2;SW_Push;Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816;2;;
U1;RP2350_60QFN;RP2350_60QFN_minimal:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias;1;;
U2;NCP1117-3.3_SOT223;Package_TO_SOT_SMD:SOT-223-3_TabPin2;1;;
U3;W25Q128JVS;Package_SO:SOIC-8_5.23x5.23mm_P1.27mm;1;;C97521
Y1;ABM8-272-T3;Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm;1;;
